Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
296;Maxwell Lewis;SF;21;LAL;34;0;30;1;6;.190;0;3;.111;1;4;.250;.214;1;1;.667;1;1;1;2;1;0;3;1;3;lewisma05
297;E.J. Liddell;PF;23;NOP;8;0;29;1;8;.167;0;6;.000;1;1;1.000;.167;3;3;1.000;0;6;6;1;3;3;3;3;5;liddeej01
298;Damian Lillard;PG;33;MIL;73;73;353;74;175;.424;30;85;.354;44;90;.490;.510;65;70;.920;5;39;44;70;10;2;26;18;243;lillada01
299;Nassir Little;SF;23;PHO;45;2;102;13;28;.460;5;16;.300;8;12;.667;.544;4;4;.850;3;14;17;5;2;2;3;9;34;littlna01
300;Dereck Lively II;C;19;DAL;55;42;235;40;54;.747;0;0;.000;40;53;.752;.747;7;15;.506;25;44;69;11;7;14;9;26;88;livelde01
301;Isaiah Livers;PF;25;DET;23;6;204;17;50;.345;10;33;.286;8;17;.462;.440;5;8;.667;7;14;21;11;6;2;7;19;50;liveris01
302;Chris Livingston;SF;20;MIL;21;0;43;5;10;.500;0;2;.200;5;8;.588;.523;1;2;.750;1;9;10;2;1;0;2;7;12;livinch01
303;Kenneth Lofton Jr.;PF;21;TOT;21;0;95;17;37;.462;3;11;.292;14;26;.537;.506;8;12;.654;6;12;18;16;3;2;7;11;46;loftoke01
304;Kevon Looney;C;27;GSW;74;36;161;19;31;.597;0;0;.000;19;31;.599;.597;8;11;.675;19;37;57;18;4;4;7;21;45;looneke01
305;Brook Lopez;C;35;MIL;79;79;305;46;96;.485;19;51;.366;28;44;.621;.583;14;17;.821;15;37;52;16;5;24;10;24;125;lopezbr01
306;Robin Lopez;C;35;MIL;16;2;41;4;12;.368;1;5;.250;3;7;.455;.421;1;1;1.000;2;1;3;3;1;2;1;4;11;lopezro01
307;Kevin Love;PF;35;MIA;55;5;168;29;65;.440;15;44;.344;13;21;.643;.557;15;20;.787;11;51;61;21;3;2;9;18;88;loveke01
308;Kyle Lowry;PG;37;TOT;60;55;282;27;63;.432;16;42;.392;11;21;.512;.562;11;13;.840;6;27;32;42;10;4;14;24;81;lowryky01
309;Seth Lundy;SF;23;ATL;9;0;58;4;19;.235;3;14;.231;1;4;.250;.324;3;4;.750;1;7;8;0;0;0;1;7;16;lundyse01
